model,BLEU-4, Rouge1, Rouge2,RougeL
1-0,0.03278300997766284,0.032635908798942716,0.014401610198870637,0.03256382114034986
1-1,0.0376111749781421,0.0313989769790039,0.012828640585993527,0.0313989769790039
1-2,0.037936894048277936,0.03429141114865004,0.012443685279422065,0.03407101291183594
1-3,0.0350728487586089,0.034684653228041845,0.011164744981935653,0.03457808886316546
1-4,0.03588931252492906,0.033012310548958965,0.00887871427953801,0.033012310548958965
1-5,0.037171287781700826,0.030971976443284706,0.009571154303415146,0.030751578206470596
1-6,0.03500285317179223,0.03189769491471257,0.011051013013343552,0.03173429622190211
2-0,0.03764992453258673,0.03533776045343453,0.013542393490390109,0.03524863389371974
2-1,0.04112063807354438,0.03138453322276852,0.011162387449152154,0.03138453322276852
2-2,0.02616388391048675,0.0114300792151711,0.0042904301404751,0.0114300792151711
2-3,0.05371002834435522,0.02431483726988011,0.005623791071859776,0.02423824413262521
2-4,0.04625313594625368,0.0296719516022947,0.008703748593454476,0.0296719516022947
2-5,0.020867811034170607,0.008511091114924344,0.0031294042774342432,0.008511091114924344
2-6,0.031212649468029458,0.022055981406794097,0.008988662481309542,0.022055981406794097
3-0,0.03550594378477132,0.03654611781981943,0.011500831744408045,0.036016637735102615
3-1,0.03738300332717608,0.011801665110488642,0.0015756302521008404,0.011801665110488642
3-2,0.03753002461322911,0.011307279321985208,0.00022281639928698754,0.011307279321985208
3-3,0.02144189485389826,0.004493464052287581,0.0,0.004493464052287581
3-4,0.019130544562639847,0.00559640522875817,0.0,0.00559640522875817
3-5,0.013618820621027912,0.003291316526610644,0.0,0.003291316526610644
3-6,0.01444231500583799,0.0030228758169934637,0.0,0.0030228758169934637
